name,channel,checkin,nights,room_revenue
Cynthia Marroquín,booking,2025-04-04,4,17116.0
Karla Espinosa,booking,2025-04-10,7,32487.0
Karla Espinosa,expedia,2025-04-06,3,13896.0
Emilio Trejo,expedia,2025-04-13,5,17055.0
Camila Restrepo,expedia,2025-04-14,2,4950.0
Alejandra Nuñez,expedia,2025-04-22,2,5802.0
Mariana Beltrán,expedia,2025-04-21,4,19300.0
Mateo Larios,expedia,2025-04-08,4,15716.0
Ines Barragán,expedia,2025-04-05,5,19485.0
Fernando Casas,expedia,2025-04-12,1,2898.0
Alejandra Nuñez,booking,2025-05-04,2,3782.0
Ignacio Peralta,booking,2025-05-08,2,4626.0
Renata Ibarra,booking,2025-05-08,2,5028.0
Tomás Villagómez,booking,2025-05-13,1,1908.0
Andrea Concha,expedia,2025-05-14,6,12462.0
Ricardo Solano,expedia,2025-05-13,7,20041.0
Camila Restrepo,expedia,2025-05-09,5,17575.0
Alejandra Nuñez,expedia,2025-05-14,4,11836.0
Rodrigo Zavala,expedia,2025-05-17,4,18552.0
Patricia Uribe,expedia,2025-05-17,2,7216.0
Patricia Uribe,expedia,2025-05-18,1,5064.0
Diego Manzano,expedia,2025-05-05,3,5691.0
Alejandra Nuñez,booking,2025-06-17,4,16540.0
Fernando Casas,booking,2025-06-20,3,14961.0
Daniela Cordero,booking,2025-06-22,2,9564.0
Diego Manzano,booking,2025-06-05,5,15895.0
Julián Camacho,expedia,2025-06-03,3,9492.0
Renata Ibarra,expedia,2025-06-19,5,20455.0
Hector Delgadillo,expedia,2025-06-07,5,23545.0
Emilio Trejo,expedia,2025-06-17,2,4422.0
Karla Espinosa,expedia,2025-06-03,6,27342.0
Mariana Beltrán,expedia,2025-06-15,6,23388.0
Hector Delgadillo,expedia,2025-06-03,6,17622.0
Mariana Beltrán,expedia,2025-06-14,4,9568.0
Paola Guerrero,booking,2025-07-13,4,18404.0
Bruno Salcedo,booking,2025-07-03,2,8574.0
Fernanda Quiroz,booking,2025-07-12,7,32627.0
Julián Camacho,booking,2025-07-13,2,6934.0
Emilio Trejo,expedia,2025-07-16,4,11488.0
Patricia Uribe,expedia,2025-07-13,1,3587.0
Ximena Rosales,expedia,2025-07-01,5,25525.0
Mateo Larios,expedia,2025-07-05,7,15134.0
Gustavo Reyna,expedia,2025-07-07,6,12498.0
Ximena Rosales,expedia,2025-07-10,3,15507.0
Hector Delgadillo,expedia,2025-07-13,2,6656.0
Bruno Salcedo,expedia,2025-07-09,4,19624.0
Sebastián Prado,booking,2025-08-13,4,20136.0
Cynthia Marroquín,booking,2025-08-11,2,5864.0
Renata Ibarra,booking,2025-08-08,4,13956.0
Bruno Salcedo,booking,2025-08-12,4,15180.0
Tomás Villagómez,expedia,2025-08-01,3,12318.0
Gustavo Reyna,expedia,2025-08-06,4,13392.0
Patricia Uribe,expedia,2025-08-14,7,18788.0
Leonardo Farías,expedia,2025-08-14,7,25473.0
Mariana Beltrán,expedia,2025-08-03,1,4801.0
Ricardo Solano,expedia,2025-08-02,6,28644.0
Julián Camacho,expedia,2025-08-17,2,7752.0
Fernando Casas,expedia,2025-08-08,5,14980.0
Tomás Villagómez,booking,2025-09-18,1,4438.0
Hector Delgadillo,booking,2025-09-02,5,21140.0
Tomás Villagómez,booking,2025-09-07,2,7026.0
Diego Manzano,booking,2025-09-10,4,18764.0
Andrea Concha,expedia,2025-09-16,2,5408.0
Rodrigo Zavala,expedia,2025-09-19,3,13926.0
Julián Camacho,expedia,2025-09-12,6,16884.0
Mateo Larios,expedia,2025-09-10,2,7216.0
Hector Delgadillo,expedia,2025-09-13,7,18914.0
Adrián Montoya,expedia,2025-09-10,7,13958.0
Alejandra Nuñez,expedia,2025-09-12,3,13704.0
Renata Ibarra,expedia,2025-09-12,1,3756.0
Leonardo Farías,booking,2025-10-15,1,4977.0
Patricia Uribe,booking,2025-10-04,2,8606.0
Bruno Salcedo,booking,2025-10-16,4,19192.0
Gustavo Reyna,booking,2025-10-09,7,31304.0
Sebastián Prado,expedia,2025-10-20,5,23965.0
Diego Manzano,expedia,2025-10-07,7,35756.0
Adrián Montoya,expedia,2025-10-07,6,12564.0
Karla Espinosa,expedia,2025-10-15,1,4653.0
Renata Ibarra,expedia,2025-10-10,7,25928.0
Emilio Trejo,expedia,2025-10-11,6,21414.0
Fernando Casas,expedia,2025-10-09,6,12012.0
Adrián Montoya,expedia,2025-10-10,4,9232.0
Natalia Ochoa,booking,2025-11-03,1,4380.0
Natalia Ochoa,booking,2025-11-19,1,4419.0
Renata Ibarra,booking,2025-11-01,4,16224.0
Patricia Uribe,booking,2025-11-11,5,13610.0
Alejandra Nuñez,expedia,2025-11-20,6,27012.0
Paola Guerrero,expedia,2025-11-05,1,2283.0
Ines Barragán,expedia,2025-11-15,3,7836.0
Fernando Casas,expedia,2025-11-09,2,5654.0
Valeria Chávez,expedia,2025-11-11,6,27306.0
Cynthia Marroquín,expedia,2025-11-20,7,31444.0
Leonardo Farías,expedia,2025-11-03,3,14724.0
Paola Guerrero,expedia,2025-11-06,3,9174.0
Camila Restrepo,booking,2025-12-14,6,25440.0
Fernando Casas,booking,2025-12-13,1,3795.0
Diego Manzano,booking,2025-12-17,5,24765.0
Camila Restrepo,booking,2025-12-15,3,13446.0
Rodrigo Zavala,expedia,2025-12-06,3,6210.0
Karla Espinosa,expedia,2025-12-20,1,2024.0
Tomás Villagómez,expedia,2025-12-07,7,26950.0
Leonardo Farías,expedia,2025-12-17,7,35616.0
Cynthia Marroquín,expedia,2025-12-08,5,14555.0
Ricardo Solano,expedia,2025-12-04,5,15130.0
Fernando Casas,expedia,2025-12-05,5,21570.0
Mariana Beltrán,expedia,2025-12-16,1,5196.0
